-86.47295,39.02317
-86.47359,39.02225
-86.47193,39.02271
-86.47517,39.02201
-86.47637,39.02349
-86.47788,39.02379
-86.47968,39.02371
-86.48037,39.02329
-86.48084,39.02361
-86.48151,39.02289
-86.48195,39.02343
-86.48252,39.02320
-86.48158,39.02287
-86.48290,39.02261
-86.48318,39.02242
-86.48283,39.02235
-86.48225,39.02216
-86.48237,39.02079
-86.48295,39.02086
-86.48335,39.02081
-86.48525,39.01625
-86.48528,39.01648
-86.48519,39.01678
-86.48513,39.01718
-86.48549,39.01705
-86.48621,39.01689
-86.46349,39.10227
-86.46437,39.10103
-86.46407,39.09901
-86.46436,39.09849
-86.46624,39.09845
-86.46494,39.09720
-86.46432,39.09790
-86.46381,39.09842
-86.46360,39.09892
-86.46376,39.09930
-86.46389,39.09879
-86.46603,39.09719
-86.46630,39.09772
-86.46686,39.09806
-86.46686,39.09806
-86.46379,39.09866
-86.43379,39.08104
-86.43338,39.08090
-86.43278,39.08170
-86.43194,39.08148
-86.43227,39.08182
-86.43103,39.08114
-86.43035,39.08086
-86.42983,39.08033
-86.43091,39.08042
-86.43067,39.08068
-86.43036,39.07996
-86.38909,39.10910
-86.40339,39.11370
-86.40129,39.11620
-86.40339,39.12056
-86.40322,39.12362
-86.40550,39.12216
-86.40919,39.11939
-86.40618,39.11633
-86.40863,39.11769
-86.40533,39.12019
-86.39556,39.14978
-86.39316,39.14519
-86.39243,39.14159
-86.39017,39.13965
-86.38942,39.13907
-86.38784,39.12985
-86.38670,39.12636
-86.38688,39.12605
-86.38814,39.12399
-86.39278,39.12239
-86.39683,39.12279
-86.39583,39.11587
-86.39743,39.11700
